dice_id,face,adjacent_1,adjacent_2,adjacent_3,opposite,face_pair
20,6,10,14,8,15,6:15
20,7,19,15,4,14,7:14
20,8,18,16,6,13,8:13
20,9,11,17,5,12,9:12
20,10,6,12,20,11,10:11
20,11,9,15,1,10,10:11
20,12,4,10,16,9,9:12
20,13,5,3,15,8,8:13
20,14,6,2,17,7,7:14
20,15,7,11,13,6,6:15
20,16,8,19,12,5,5:16
20,17,9,18,14,4,4:17
20,18,8,17,1,3,3:18
20,19,7,16,1,2,2:19
20,20,2,10,3,1,1:20
21,1,7,19,13,20,1:20
21,2,12,18,20,19,2:19
21,3,17,16,19,18,3:18
21,4,18,11,14,17,4:17
21,5,18,15,13,16,5:16
21,6,9,16,14,15,6:15
21,7,15,17,1,14,7:14
21,8,16,10,20,13,8:13
21,9,6,11,19,12,9:12
21,10,17,12,8,11,10:11
21,11,9,4,13,10,10:11
21,12,10,15,2,9,9:12
21,13,11,5,1,8,8:13
21,14,4,6,20,7,7:14
21,15,5,12,7,6,6:15
21,16,6,3,8,5,5:16
21,17,10,3,7,4,4:17
21,18,5,4,2,3,3:18
21,19,3,9,1,2,2:19
21,20,2,14,8,1,1:20
22,1,7,19,13,20,1:20
22,2,12,18,20,19,2:19
22,3,17,16,19,18,3:18
22,4,18,11,14,17,4:17
22,5,18,15,13,16,5:16
22,6,9,16,14,15,6:15
22,7,15,17,1,14,7:14
22,8,16,10,20,13,8:13
22,9,6,11,19,12,9:12
22,10,17,12,8,11,10:11
22,11,9,4,13,10,10:11
22,12,10,15,2,9,9:12
22,13,11,5,1,8,8:13
22,14,4,6,20,7,7:14
22,15,5,12,7,6,6:15
22,16,6,3,8,5,5:16
22,17,10,3,7,4,4:17
22,18,5,4,2,3,3:18
22,19,3,9,1,2,2:19
22,20,2,14,8,1,1:20
23,1,7,19,13,20,1:20
23,2,12,18,20,19,2:19
23,3,17,16,19,18,3:18
23,4,18,11,14,17,4:17
23,5,18,15,13,16,5:16
23,6,9,16,14,15,6:15
23,7,15,17,1,14,7:14
23,8,16,10,20,13,8:13
23,9,6,11,19,12,9:12
23,10,17,12,8,11,10:11
23,11,9,4,13,10,10:11
23,12,10,15,2,9,9:12
23,13,11,5,1,8,8:13
23,14,4,6,20,7,7:14
23,15,5,12,7,6,6:15
23,16,6,3,8,5,5:16
23,17,10,3,7,4,4:17
23,18,5,4,2,3,3:18
23,19,3,9,1,2,2:19
23,20,2,14,8,1,1:20
24,1,7,19,13,20,1:20
24,2,12,18,20,19,2:19
24,3,17,16,19,18,3:18
24,4,18,11,14,17,4:17
24,5,18,15,13,16,5:16
24,6,9,16,14,15,6:15
24,7,15,17,1,14,7:14
24,8,16,10,20,13,8:13
24,9,6,11,19,12,9:12
24,10,17,12,8,11,10:11
24,11,9,4,13,10,10:11
24,12,10,15,2,9,9:12
24,13,11,5,1,8,8:13
24,14,4,6,20,7,7:14
24,15,5,12,7,6,6:15
24,16,6,3,8,5,5:16
24,17,10,3,7,4,4:17
24,18,5,4,2,3,3:18
24,19,3,9,1,2,2:19
24,20,2,14,8,1,1:20
25,1,13,7,19,20,1:20
25,2,12,18,20,19,2:19
25,3,17,16,19,18,3:18
25,4,18,11,14,17,4:17
25,5,18,15,13,16,5:16
25,6,9,16,14,15,6:15
25,7,15,17,1,14,7:14
25,8,16,10,20,13,8:13
25,9,6,11,19,12,9:12
25,10,17,12,8,11,10:11
25,11,9,4,13,10,10:11
25,12,10,15,2,9,9:12
25,13,11,5,1,8,8:13
25,14,4,6,20,7,7:14
25,15,5,12,7,6,6:15
25,16,6,3,8,5,5:16
25,17,10,3,7,4,4:17
25,18,5,4,2,3,3:18
25,19,3,9,1,2,2:19
25,20,2,14,8,1,1:20
26,1,11,19,18,20,1:20
26,2,5,14,20,19,2:19
26,3,4,13,20,18,3:18
26,4,3,12,7,17,4:17
26,5,2,13,9,16,5:16
26,6,10,14,8,15,6:15
26,7,19,15,4,14,7:14
26,8,18,16,6,13,8:13
26,9,11,17,5,12,9:12
26,10,6,12,20,11,10:11
26,11,9,15,1,10,10:11
26,12,4,10,16,9,9:12
26,13,5,3,15,8,8:13
26,14,6,2,17,7,7:14
26,15,7,11,13,6,6:15
26,16,8,19,12,5,5:16
26,17,9,18,14,4,4:17
26,18,8,17,1,3,3:18
26,19,7,16,1,2,2:19
26,20,2,10,3,1,1:20
27,1,11,19,18,20,1:20
27,2,5,14,20,19,2:19
27,3,4,13,20,18,3:18
27,4,3,12,7,17,4:17
27,5,2,13,9,16,5:16
27,6,10,14,8,15,6:15
27,7,19,15,4,14,7:14
27,8,18,16,6,13,8:13
27,9,11,17,5,12,9:12
27,10,6,12,20,11,10:11
27,11,9,15,1,10,10:11
27,12,4,10,16,9,9:12
27,13,5,3,15,8,8:13
27,14,6,2,17,7,7:14
27,15,7,11,13,6,6:15
27,16,8,19,12,5,5:16
27,17,9,18,14,4,4:17
27,18,8,17,1,3,3:18
27,19,7,16,1,2,2:19
27,20,2,10,3,1,1:20
28,1,11,19,18,20,1:20
28,2,5,14,20,19,2:19
28,3,4,13,20,18,3:18
28,4,3,12,7,17,4:17
28,5,2,13,9,16,5:16
28,6,10,14,8,15,6:15
28,7,19,15,4,14,7:14
28,8,18,16,6,13,8:13
28,9,11,17,5,12,9:12
28,10,6,12,20,11,10:11
28,11,9,15,1,10,10:11
28,12,4,10,16,9,9:12
28,13,5,3,15,8,8:13
28,14,6,2,17,7,7:14
28,15,7,11,13,6,6:15
28,16,8,19,12,5,5:16
28,17,9,18,14,4,4:17
28,18,8,17,1,3,3:18
28,19,7,16,1,2,2:19
28,20,2,10,3,1,1:20
29,1,11,19,18,20,1:20
29,2,5,14,20,19,2:19
29,3,4,13,20,18,3:18
29,4,3,12,7,17,4:17
29,5,2,13,9,16,5:16
29,6,10,14,8,15,6:15
29,7,19,15,4,14,7:14
29,8,18,16,6,13,8:13
29,9,11,17,5,12,9:12
29,10,6,12,20,11,10:11
29,11,9,15,1,10,10:11
29,12,4,10,16,9,9:12
29,13,5,3,15,8,8:13
29,14,6,2,17,7,7:14
29,15,7,11,13,6,6:15
